year,state,teams,avg_win_pct
2008,NY,"NYK, TOR",0.3937
2008,OH,CLE,0.55
2008,OR,POR,0.5
2008,PA,PHI,0.475
2008,TN,MEM,0.2436
2008,TX,"DAL, HOU, SAS",0.6509
2008,UT,UTA,0.641
2008,WI,MIL,0.3125
2009,AZ,PHO,0.561
2009,CA,"GSW, LAC, LAL, SAC",0.3963
2009,CO,DEN,0.6585
2009,DC,WAS,0.2317
2009,FL,"MIA, ORL",0.622
2009,GA,ATL,0.5732
2009,IL,CHI,0.5
2009,IN,IND,0.439
2009,LA,NOH,0.5976
2009,MA,BOS,0.7561
2009,MI,DET,0.4756
2009,MN,MIN,0.2927
2009,NC,CHA,0.4268
2009,NJ,NJN,0.4146
2009,NY,"NYK, TOR",0.3963
2009,OH,CLE,0.8049
2009,OK,OKC,0.2805
2009,OR,POR,0.6585
2009,PA,PHI,0.5
2009,TN,MEM,0.2927
2009,TX,"DAL, HOU, SAS",0.6382
2009,UT,UTA,0.5854
2009,WI,MIL,0.4146
2010,AZ,PHO,0.6585
2010,CA,"GSW, LAC, LAL, SAC",0.4177
2010,CO,DEN,0.6463
2010,DC,WAS,0.3171
2010,FL,"MIA, ORL",0.6463
2010,GA,ATL,0.6463
2010,IL,CHI,0.5
2010,IN,IND,0.3902
2010,LA,NOH,0.4512
2010,MA,BOS,0.6098
2010,MI,DET,0.3293
2010,MN,MIN,0.1829
2010,NC,CHA,0.5366
2010,NJ,NJN,0.1463
2010,NY,"NYK, TOR",0.4207
2010,OH,CLE,0.7439
2010,OK,OKC,0.6098
2010,OR,POR,0.6098
2010,PA,PHI,0.3293
2010,TN,MEM,0.4878
2010,TX,"DAL, HOU, SAS",0.5976
2010,UT,UTA,0.6463
2010,WI,MIL,0.561
2011,AZ,PHO,0.4878
2011,CA,"GSW, LAC, LAL, SAC",0.4543
2011,CO,DEN,0.6098
2011,DC,WAS,0.2805
2011,FL,"MIA, ORL",0.6707
2011,GA,ATL,0.5366
2011,IL,CHI,0.7561
2011,IN,IND,0.4512
2011,LA,NOH,0.561
2011,MA,BOS,0.6829
2011,MI,DET,0.3659
2011,MN,MIN,0.2073
2011,NC,CHA,0.4146
2011,NJ,NJN,0.2927
2011,NY,"NYK, TOR",0.3902
2011,OH,CLE,0.2317
2011,OK,OKC,0.6707
2011,OR,POR,0.5854
2011,PA,PHI,0.5
2011,TN,MEM,0.5488
2011,TX,"DAL, HOU, SAS",0.6545
2011,UT,UTA,0.4756
2011,WI,MIL,0.4268
2012,AZ,PHO,0.5
2012,CA,"GSW, LAC, LAL, SAC",0.4773
2012,CO,DEN,0.5758
2012,DC,WAS,0.303
2012,FL,"MIA, ORL",0.6288
2012,GA,ATL,0.6061
2012,IL,CHI,0.7576
2012,IN,IND,0.6364
2012,LA,NOH,0.3182
2012,MA,BOS,0.5909
2012,MI,DET,0.3788
2012,MN,MIN,0.3939
2012,NC,CHA,0.1061
2012,NJ,NJN,0.3333
2012,NY,"NYK, TOR",0.447
2012,OH,CLE,0.3182
2012,OK,OKC,0.7121
2012,OR,POR,0.4242
2012,PA,PHI,0.5303
2012,TN,MEM,0.6212
2012,TX,"DAL, HOU, SAS",0.6061
2012,UT,UTA,0.5455
2012,WI,MIL,0.4697
2013,AZ,PHO,0.3049
2013,CA,"GSW, LAC, LAL, SAC",0.5366
2013,CO,DEN,0.6951
2013,DC,WAS,0.3537
2013,FL,"MIA, ORL",0.5244
2013,GA,ATL,0.5366
2013,IL,CHI,0.5488
2013,IN,IND,0.6049
2013,LA,NOH,0.3293
2013,MA,BOS,0.5062
2013,MI,DET,0.3537
2013,MN,MIN,0.378
2013,NC,CHA,0.2561
2013,NY,"BRK, NYK, TOR",0.5569
2013,OH,CLE,0.2927
2013,OK,OKC,0.7317
2013,OR,POR,0.4024
2013,PA,PHI,0.4146
2013,TN,MEM,0.6829
2013,TX,"DAL, HOU, SAS",0.5854
2013,UT,UTA,0.5244
2013,WI,MIL,0.4634
2014,AZ,PHO,0.5854
2014,CA,"GSW, LAC, LAL, SAC",0.497
2014,CO,DEN,0.439
2014,DC,WAS,0.5366
2014,FL,"MIA, ORL",0.4695
2014,GA,ATL,0.4634
2014,IL,CHI,0.5854
2014,IN,IND,0.6829
2014,LA,NOP,0.4146
